branch,vehicle_id,step_order,location_index,arrival_time (sec)
Esenyurt,0,0,0,28377
Esenyurt,0,1,42,28800
Esenyurt,0,2,87,29059
Esenyurt,0,3,66,29071
Esenyurt,0,4,132,29224
Esenyurt,0,5,143,29350
Esenyurt,0,6,106,29476
Esenyurt,0,7,101,34399
Esenyurt,0,8,96,34411
Esenyurt,0,9,32,34703
Esenyurt,0,10,111,34844
Esenyurt,0,11,108,35025
Esenyurt,0,12,37,35374
Esenyurt,0,13,73,35506
Esenyurt,0,14,25,35544
Esenyurt,0,15,84,39097
Esenyurt,0,16,105,39106
Esenyurt,0,17,160,39128
Esenyurt,0,18,140,39228
Esenyurt,0,19,126,39240
Esenyurt,0,20,95,39250
Esenyurt,0,21,88,39294
Esenyurt,0,22,76,39316
Esenyurt,0,23,60,39318
Esenyurt,0,24,45,39330
Esenyurt,0,25,41,39376
Esenyurt,0,26,40,39520
Esenyurt,0,27,24,39620
Esenyurt,0,28,16,39622
Esenyurt,0,29,171,42603
Esenyurt,0,30,128,42773
Esenyurt,0,31,102,42858
Esenyurt,0,32,191,43014
Esenyurt,0,33,188,43048
Esenyurt,0,34,197,43160
Esenyurt,0,35,183,43168
Esenyurt,0,36,77,43438
Esenyurt,0,37,158,43487
Esenyurt,0,38,94,43746
Esenyurt,0,39,26,43838
Esenyurt,0,40,129,47606
Esenyurt,0,41,157,47689
Esenyurt,0,42,195,47735
Esenyurt,0,43,64,47925
Esenyurt,0,44,58,48039
Esenyurt,0,45,70,48168
Esenyurt,0,46,118,48687
Esenyurt,0,47,21,49023
Esenyurt,0,48,152,51992
Esenyurt,0,49,65,52115
Esenyurt,0,50,194,52346
Esenyurt,0,51,189,52456
Esenyurt,0,52,138,52544
Esenyurt,0,53,150,52728
Esenyurt,0,54,123,52983
Esenyurt,0,55,137,53088
Esenyurt,0,56,135,53119
Esenyurt,0,57,146,53417
Esenyurt,0,58,3,53439
Esenyurt,0,59,109,56871
Esenyurt,0,60,29,57023
Esenyurt,0,61,180,57142
Esenyurt,0,62,125,57529
Esenyurt,0,63,99,60679
Esenyurt,0,64,82,60921
Esenyurt,0,65,144,60964
Esenyurt,1,0,0,27819
Esenyurt,1,1,163,28800
Esenyurt,2,0,0,27836
Esenyurt,2,1,167,28800
Esenyurt,3,0,0,27902
Esenyurt,3,1,166,28800
Esenyurt,4,0,0,27949
Esenyurt,4,1,165,28800
Esenyurt,5,0,0,28201
Esenyurt,5,1,122,28800
Esenyurt,5,2,115,28802
Esenyurt,5,3,38,28918
Esenyurt,5,4,47,28927
Esenyurt,5,5,136,29404
Esenyurt,5,6,30,29482
Esenyurt,5,7,97,29585
Esenyurt,5,8,14,30065
Esenyurt,5,9,18,31313
Esenyurt,5,10,80,31484
Esenyurt,5,11,20,31856
Esenyurt,5,12,161,32055
Esenyurt,5,13,103,32289
Esenyurt,5,14,67,32293
Esenyurt,5,15,56,32321
Esenyurt,5,16,44,32616
Esenyurt,5,17,62,33964
Esenyurt,5,18,86,34159
Esenyurt,5,19,182,34316
Esenyurt,5,20,174,34737
Esenyurt,5,21,53,34843
Esenyurt,5,22,17,34859
Esenyurt,5,23,98,35042
Esenyurt,5,24,69,36162
Esenyurt,5,25,6,36194
Esenyurt,5,26,185,36939
Esenyurt,5,27,13,37071
Esenyurt,5,28,12,37627
Esenyurt,5,29,100,37707
Esenyurt,5,30,74,37767
Esenyurt,5,31,1,37800
Esenyurt,5,32,121,37860
Esenyurt,5,33,89,37866
Esenyurt,5,34,199,37972
Esenyurt,5,35,145,38122
Esenyurt,5,36,124,38251
Esenyurt,5,37,8,38269
Esenyurt,5,38,198,38402
Esenyurt,5,39,181,38501
Esenyurt,5,40,90,53509
Esenyurt,5,41,72,54086
Esenyurt,5,42,193,54464
Esenyurt,5,43,50,54640
Esenyurt,5,44,52,54755
Esenyurt,5,45,4,54882
Esenyurt,5,46,27,54984
Esenyurt,5,47,59,55289
Esenyurt,5,48,159,55301
Esenyurt,5,49,78,55441
Esenyurt,5,50,141,55488
Esenyurt,5,51,139,56281
Esenyurt,5,52,36,56812
Esenyurt,5,53,79,57027
Esenyurt,5,54,179,57516
Esenyurt,5,55,33,57570
Esenyurt,5,56,107,58279
Esenyurt,5,57,48,58403
Esenyurt,5,58,155,58602
Esenyurt,5,59,9,58758
Esenyurt,5,60,39,60960
Esenyurt,6,0,0,28310
Esenyurt,6,1,201,28800
Esenyurt,6,2,54,29121
Esenyurt,6,3,178,36849
Esenyurt,6,4,176,36891
Esenyurt,6,5,51,36995
Esenyurt,6,6,5,37060
Esenyurt,6,7,19,38047
Esenyurt,6,8,92,40600
Esenyurt,6,9,147,40864
Esenyurt,6,10,71,40878
Esenyurt,6,11,85,40994
Esenyurt,6,12,35,41437
Esenyurt,6,13,131,42330
Esenyurt,6,14,22,42420
Esenyurt,6,15,57,42992
Esenyurt,6,16,110,43867
Esenyurt,6,17,130,44002
Esenyurt,6,18,149,44430
Esenyurt,6,19,134,44434
Esenyurt,6,20,133,44484
Esenyurt,6,21,127,44748
