branch,vehicle_id,step_order,location_index,arrival_time (sec)
Haramidere,0,0,0,27633
Haramidere,0,1,3,28800
Haramidere,1,0,0,27633
Haramidere,1,1,55,28800
Haramidere,2,0,0,28500
Haramidere,2,1,132,28800
Haramidere,2,2,102,28828
Haramidere,2,3,91,28884
Haramidere,2,4,65,28908
Haramidere,2,5,127,29187
Haramidere,2,6,73,29271
Haramidere,2,7,81,29329
Haramidere,2,8,64,29476
Haramidere,2,9,41,29623
Haramidere,2,10,78,29834
Haramidere,2,11,69,29906
Haramidere,2,12,101,30111
Haramidere,2,13,66,30138
Haramidere,2,14,108,30204
Haramidere,2,15,110,30395
Haramidere,2,16,128,30485
Haramidere,2,17,38,30632
Haramidere,2,18,46,30752
Haramidere,2,19,95,30840
Haramidere,2,20,98,32459
Haramidere,2,21,129,33197
Haramidere,2,22,11,33202
Haramidere,2,23,93,40747
Haramidere,2,24,71,40920
Haramidere,2,25,30,41205
Haramidere,2,26,99,41399
Haramidere,2,27,36,41561
Haramidere,2,28,109,41785
Haramidere,2,29,43,42077
Haramidere,2,30,33,42337
Haramidere,2,31,103,42425
Haramidere,2,32,34,42439
Haramidere,2,33,56,42495
Haramidere,2,34,88,50657
Haramidere,2,35,22,50873
Haramidere,3,0,0,27734
Haramidere,3,1,4,28800
Haramidere,4,0,0,27740
Haramidere,4,1,7,28800
Haramidere,5,0,0,28392
Haramidere,5,1,61,28800
Haramidere,5,2,8,29478
Haramidere,5,3,90,43150
Haramidere,6,0,0,27848
Haramidere,6,1,6,28800
Haramidere,7,0,0,28306
Haramidere,7,1,24,28800
Haramidere,7,2,104,29120
Haramidere,7,3,123,29269
Haramidere,7,4,116,45225
Haramidere,7,5,10,45283
Haramidere,7,6,67,46771
Haramidere,7,7,37,48164
Haramidere,7,8,16,48398
Haramidere,7,9,9,49151
Haramidere,7,10,86,49324
Haramidere,7,11,12,49326
Haramidere,7,12,14,50729
Haramidere,7,13,42,55033
Haramidere,7,14,45,55060
Haramidere,7,15,115,55138
Haramidere,7,16,15,55279
Haramidere,7,17,97,55629
Haramidere,7,18,31,55659
Haramidere,7,19,94,55841
Haramidere,7,20,23,56599
Haramidere,7,21,118,56692
Haramidere,7,22,133,56908
Haramidere,7,23,49,56933
Haramidere,7,24,100,57287
Haramidere,7,25,51,57344
Haramidere,7,26,87,58118
Haramidere,7,27,82,58142
Haramidere,7,28,117,58184
Haramidere,7,29,107,58384
Haramidere,7,30,63,58388
Haramidere,7,31,57,58687
Haramidere,7,32,32,58831
Haramidere,8,0,0,27956
Haramidere,8,1,2,28800
Haramidere,9,0,0,27997
Haramidere,9,1,20,28800
Haramidere,9,2,1,29315
Haramidere,9,3,47,30972
Haramidere,9,4,125,31734
Haramidere,9,5,50,32064
Haramidere,9,6,44,32132
Haramidere,9,7,77,32164
Haramidere,9,8,76,32250
Haramidere,9,9,121,32497
Haramidere,9,10,26,50631
Haramidere,9,11,126,50791
Haramidere,9,12,17,51160
Haramidere,9,13,13,52211
Haramidere,9,14,68,52453
Haramidere,10,0,0,28092
Haramidere,10,1,27,28800
Haramidere,10,2,96,29481
Haramidere,10,3,92,30058
Haramidere,10,4,53,30085
Haramidere,10,5,130,30231
Haramidere,10,6,120,30510
Haramidere,10,7,59,45172
Haramidere,10,8,40,47411
Haramidere,10,9,114,47840
Haramidere,10,10,111,47845
Haramidere,10,11,113,48079
Haramidere,10,12,48,48633
Haramidere,10,13,112,48786
Haramidere,10,14,84,49302
Haramidere,10,15,52,51503
Haramidere,10,16,89,51960
Haramidere,10,17,35,52198
Haramidere,10,18,131,52401
Haramidere,10,19,21,52559
Haramidere,10,20,28,60362
Haramidere,10,21,25,60595
Haramidere,10,22,39,60739
Haramidere,10,23,106,60948
Haramidere,11,0,0,28321
Haramidere,11,1,5,28800
Haramidere,12,0,0,28382
Haramidere,12,1,54,28800
Haramidere,13,0,0,28319
Haramidere,13,1,58,28800
Haramidere,13,2,29,28947
Haramidere,13,3,72,29125
Haramidere,13,4,18,29364
Haramidere,13,5,85,30819
Haramidere,13,6,105,30894
Haramidere,13,7,74,31255
Haramidere,13,8,60,31471
Haramidere,13,9,124,31863
Haramidere,13,10,83,32150
Haramidere,13,11,122,32806
Haramidere,13,12,119,44142
Haramidere,13,13,70,47988
Haramidere,13,14,75,48095
Haramidere,13,15,79,48304
Haramidere,13,16,19,48479
Haramidere,13,17,80,48522
Haramidere,13,18,62,49191
